case_id,source_id,doi_r,title,model_classification,model_confidence,model_categories,model_evidence_quote,model_reasoning,stratum
V14,N105,10.1096/fj.180901ufm,Perennial Prescience,none,high,other,,"The paper is a historical and biographical essay celebrating the contributions of biochemist Arthur Pardee and does not aim to replicate, reproduce, or re-test any specific prior study.",none_weak_evidence
V15,N138,10.1002/mds.28597,“Antibody of Unknown Significance” (AUS): The Issue of Interpreting Antibody Test Results,none,high,builds_on_literature|other,,"The paper discusses the clinical challenge of interpreting ambiguous antibody test results and introduces the concept of 'antibody of unknown significance' using a case study, which is ordinary clinical commentary rather than a replication or reproduction of a specific published finding.",none_weak_evidence
V16,N011,10.25148/etd.fi13121207,"The Relationship between Scaffolding Metacognitive Strategies identified through Dialogue Journals and Second Graders’ Reading Comprehension, Science Achievement, and Metacognition using Expository Text",none,high,builds_on_literature,"A replication of this study with more students across more schools, and different grade levels would improve the generalizability of these results.","The abstract describes an original empirical study that merely suggests future replication in its conclusion, rather than conducting a replication itself.",agreed_none_high_bycategory
V17,N137,10.53596/jta.v28i1.372,"The Peer-to-Peer market for tourist accommodation in Latin America. Supply, Demand and Prices",none,high,other,encourages the replication of our analysis with data on the effective occupation of the accommodation,"The paper is an original empirical study of Airbnb markets in Latin America, and the mention of replication only appears as a suggestion for future research in the limitations section.",none_weak_evidence
V18,N054,10.1016/j.contraception.2017.04.004,What if medical abortion becomes the main or only method of first-trimester abortion? A roundtable of views,none,high,other,,The paper is a roundtable discussion about the views and experiences of medical abortion in different countries rather than a replication or reproduction study.,none_weak_evidence
V19,N128,10.1016/s2542-5196(21)00032-2,India's air pollution: the need for city-centric plans and regulations,none,high,terminology_only,,"The paper is a commentary discussing air pollution policy and mentions the word replication only in the context of administrative overlap or ordinary-language usage, rather than as a replication study.",none_weak_evidence
V20,N129,10.4102/jamba.v13i1.1040,Quantifying the nutritional and income loss caused by crop raiding in a rural African subsistence farming community in South Africa,none,high,terminology_only,to avoid pseudo-replication of results,The paper uses the term 'pseudo-replication' solely in reference to its internal sampling design rather than as a replication or reproduction of a previously published study.,agreed_none_high_bycategory
V21,N029,10.7287/peerj.16135v0.1/reviews/1,"Peer Review #1 of ""Followership styles scrutinized: temporal consistency and relationships with job attitudes and self-efficacy (v0.1)""",none,high,other,"To replicate and extend our findings from Study 1, we conducted Study 2 with a sample of N = 570 participants","The paper is an internal replication where Study 2 replicates Study 1 of the same paper, which does not qualify as checking earlier published research in another paper.",none_weak_evidence
V22,N145,10.3389/fmed.2021.730494,In vivo Imaging of Retina and Choroid in Guinea Pigs,none,high,other,We assessed the reproducibility of the OCT measurements and compared in-vivo measurements to histomorphometric data.,The paper investigates the technical measurement reproducibility (intra-observer and inter-observer reliability) within its own study design rather than checking a previously published finding.,none_weak_evidence
V23,N003,10.1177/0956797615616374,Replication in Psychological Science,none,high,about_replication,Replication in Psychological Science,The paper is a commentary and discussion about the replication crisis and another published replication project rather than presenting an empirical replication or reproduction study itself.,none_weak_evidence
V24,N039,10.1016/j.rvsc.2020.03.007,Evaluating the application of the dual path platform VetTB test for badgers (Meles meles) in the test and vaccinate or remove (TVR) wildlife research intervention project in Northern Ireland,none,high,measurement_validation|terminology_only,"The objective of this study was to evaluate the use of Dual Path Platform (DPP) VetTB test (Chembio Diagnostic Systems Inc., Medford, NY, USA) within a Test and Vaccinate or Remove (TVR) wildlife research intervention project.","The study evaluates the performance of a diagnostic test within a specific intervention project and mentions measurement reliability and reproducibility, but it does not aim to replicate a specific previously published research finding.",agreed_none_high_bycategory
V25,N023,10.1161/circgen.118.002139,Is Plasma Renin Activity Genetically Determined and How Much Does It Matter for Treating Hypertension?,none,high,about_replication,,"The paper is an editorial discussing another study's findings on plasma renin activity and briefly mentioning a replication step within that other study, but it is not itself a replication or reproduction study.",none_weak_evidence
V26,N007,10.28971/532018mm74,Secondary Traumatic Stress Among Emergency Department Nurses,none,high,other,Replication of this project on a larger scale could serve as the foundation for establishing new policies regarding STS,"The abstract merely suggests that future replication of the project is needed, which is a non-qualifying usage.",none_weak_evidence
V27,N123,10.29035/ucmaule.59.56,Fiabilidad y reproductividad de los Cuestionarios de Actividad Física PAQ-C Y PAQ-A en Estudiantes de Enseñanza Básica y Media de la Ciudad de Talca,none,high,measurement_validation,"The instrument was applied in two instances, having an interval of 7 days between the two measurements (test and re-test).",The paper measures test-retest reliability and internal measurement reproducibility within its own sample rather than re-testing a previously published finding or re-validating a published instrument in a distinct external context.,agreed_none_high_bycategory
V28,N042,10.3390/ijerph17217709,Reliability of T-WSI to Evaluate Neighborhoods Walkability and Its Changes over Time,none,high,measurement_validation,Intraclass Correlation Coefficient (ICC) is used to evaluate the reproducibility of measurements (or ratings) made by different investigators.,The paper uses 'reproducibility' in the technical sense of inter-rater agreement and internal consistency within a study rather than checking a previously published finding.,agreed_none_high_bycategory
V29,N045,10.1016/j.ebiom.2016.03.014,Zika Virus: More Questions Than Answers,none,high,builds_on_literature,,The paper is a review summarizing current knowledge and questions surrounding the Zika virus outbreak rather than an aim to replicate or reproduce a specific prior study.,agreed_none_high_bycategory
V30,N109,10.1249/fit.0000000000000415,Scope of Practice,none,high,builds_on_literature|other,,"The paper provides a legal and professional refresher on scope of practice for fitness instructors, without aiming to replicate or reproduce any previously published empirical finding.",none_weak_evidence
