doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,rewrite,rewritable,renamed_keys,mo_key,error,new_keys,new_reasoning,result
10.1186/s12881-014-0102-9,Replication and exploratory analysis of 24 candidate risk polymorphisms for neural tube defects,10.1002/ajmg.a.33755,Evaluation of 64 candidate single nucleotide polymorphisms as risk factors for neural tube defects in a large Irish study population,judged,mo,['Evaluation of common genetic variants in 82 candidate genes as risk factors for neural tube defects'],['10.1186/1471-2350-13-62'],@carter2010,gpt-5.6-luna,exact,True,2,@pangilinan2012,,['@carter2010'],"The paper re-tests associations from the large Irish cohort, which matches Carter et al. (2010); the other cited works provide background or context rather than findings this paper re-tests.",same as old
10.1901/jaba.2000.33-239,USING POSITIVE PEER REPORTING TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF SOCIALLY ISOLATED ADOLESCENTS IN RESIDENTIAL CARE: A SYSTEMATIC REPLICATION,10.1901/jaba.1996.29-251,FEED THE HUNGRY BEE: USING POSITIVE PEER REPORTS TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF A SOCIALLY REJECTED GIRL IN RESIDENTIAL CARE,judged,split,['Merging research and practice: The example of positive peer reporting applied to social rejection'],['https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27'],@ervin1996,gpt-5.6-luna,exact,True,1,@bowers1999,,['@ervin1996'],"The title identifies a systematic replication matching Ervin and Miller’s study, while the other cited works are not identified as the finding being retested.",same as old
10.1073/pnas.0508189103,A functional variant of the dopamine D <sub>3</sub> receptor is associated with risk and age-at-onset of essential tremor,10.1111/j.1399-0004.2006.00600.x,Linkage with the Ser9Gly DRD3 polymorphism in essential tremor families,judged,mo,"['Mapping of a familial essential tremor gene, FET1, to chromosome 3q13']",['10.1038/ng0997-84'],@lucotte2006,gpt-5.6-luna,exact,True,0,@gulcher1997,,[],"The abstract describes a replication sample that confirms the association reported in this paper’s own families, but does not identify a previously published study whose finding this paper re-tests.",declines
10.2466/pr0.95.3f.1059-1071,Testing a Social Psychological Model of Strategy Use with Students of English as a Foreign Language,10.1111/j.1944-9720.1994.tb01201.x,Toward a Social Psychological Model of Strategy Use,judged,mo,['Using social-psychological variables to predict the use of language learning strategies'],['10.1111/j.1944-9720.1996.tb01249.x'],@maclntyre1994,gpt-5.6-luna,exact,True,5,,,['@macintyre1996'],"The paper identifies its replication as testing MacIntyre’s model and specifically discusses MacIntyre and Noels’ revised-model thesis, while the other cited works are background or sources for measures and methods.",switches to another
10.1002/mpr.251,Development and validation of a cluster-based classification system to facilitate treatment tailoring,10.17433/978-3-17-026572-1,Tabakentwöhnung,judged,mo,['Multidimensional smoker profiles and their prediction of smoking following a pharmacobehavioral intervention'],['10.1016/j.jsat.2007.08.006'],@batra2004,gpt-5.6-luna,exact,True,0,,,[],"The paper explicitly re-tests the smoker profiles attributed to Batra et al. (in press), while the supplied Batra et al. (2004) reference is not identified as that target and the other citations are not said to be re-tested.",declines
10.2466/pr0.2002.91.3.722,Correlations for Leaders' Anticipation of Targets' Resistance and Targets' Ratings of Leaders' Influence Tactics: A Replication,10.2466/pr0.2001.88.3.835,A Field Study of the Relation between Leaders' Anticipation of Targets' Resistance and Targets' Reports of Influence Tactics Used by Leaders in Dyadic Relations,judged,both,"[""A field study of the relation between leaders' anticipation of targets' resistance and targets' reports of influence tactics used by leaders in dyadic relationships""]",['10.2466/pr0.88.3.835-843'],@barbuto2001,gpt-5.6-luna,exact,True,1,@barbuto2001,,['@barbuto2001'],The abstract explicitly identifies the Barbuto et al. (2001) study as the work being replicated; the other listed works are not identified as re-tested.,same as old
10.1080/13554790490507614,Independent Access to Phonological and Orthographic Lexical Representations: A Replication Study,10.1080/026432997381619,The Independence of Phonological and Orthographic Lexical Forms: Evidence from Aphasia,judged,split,['The autonomy of lexical orthography'],['10.1080/026432997381628'],@miceli1997,gpt-5.6-luna,exact,True,1,@rapp1997,,[],"The supplied title and abstract identify the paper as a replication and describe its findings, but do not state which prior study or finding it re-tests; the cited related works cannot be treated as targets based on topical similarity alone.",declines
10.3109/07357907.2011.630052,<i>GPC5</i>rs2352028 Polymorphism and Risk of Lung Cancer in Han Chinese,10.1016/s1470-2045(10)70096-6,GPC5 rs2352028 variant and risk of lung cancer in never smokers,judged,mo,['Genetic variants and risk of lung cancer in never smokers: a genome-wide association study'],['10.1016/s1470-2045(10)70042-5'],@landi2010,gpt-5.6-luna,exact,True,1,@li2010,,['@landi2010'],"The abstract explicitly describes a replication of the reported never-smoker association, and the reference list identifies Landi et al. (2010) as the matching original; the other cited works provide background or are unrelated.",same as old
10.1001/archpsyc.1996.01830080033007,Replication of the Stockholm Adoption Study of Alcoholism,10.1007/978-1-4615-7715-7_4,Psychopathology in Adopted-out Children of Alcoholics The Stockholm Adoption Study,judged,split,"['Inheritance of alcohol abuse: cross-fostering analysis of adopted men', 'Inheritance of alcohol abuse: cross-fostering analysis of adopted men']","['10.1001/archpsyc.1981.01780330019001', '10.1001/archpsyc.1981.01780330019001']",@cloninger1985,gpt-5.6-luna,exact,True,1,,,['@cloninger1985'],"The paper explicitly describes a replication of the Stockholm Adoption Study, which uniquely matches the listed Cloninger et al. paper; the other cited works are not identified as findings this paper re-tests.",same as old
10.2466/pr0.1990.66.2.407,Distorted Body Image as a Risk Factor in Anorexia Nervosa: Replication and Clarification,10.1002/1097-4679(198911)45:6<843::aid-jclp2270450603>3.0.co;2-4,Food cues and peceptual distortion of the female body: Implications for food avoidance in the early dynamics of anorexia nervosa,judged,mo,['Distorted body image in normal women: implications for the development of anorexia nervosa'],['10.1002/1097-4679(199007)46:4<398::aid-jclp2270460404>3.0.co;2-5'],@heilbrun1989,gpt-5.6-luna,exact,True,0,,,['@heilbrun1989'],"The abstract explicitly describes re-testing the earlier body-image finding, which matches the listed Heilbrun and Flodin study; the other listed works are not identified as the finding being re-tested.",same as old
10.1207/s15327906mbr0104_1,Behavioral Characteristics Of Children : Replication Studies With Foster Children,10.1080/00224545.1960.9922085,Rankings and Self-Assessments: Some Behavioral Characteristics Replication Studies,judged,mo,"['Behavioral Characteristics of Children Known to Psychiatric Out-Patient Clinics (with special attention to adoption status, sex, and age groupings)']",['https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d'],@borgatta1960,gpt-5.4-mini,older_block,True,0,,,[],The title and abstract call this a replication but do not identify any prior finding it re-tests; the references alone do not establish that either cited work is a target.,declines
10.1093/rheumatology/ker444,Replication of a microsatellite genome-wide association study of Behcet's disease in a Korean population,10.1038/ng.624,Genome-wide association studies identify IL23R-IL12RB2 and IL10 as Behçet's disease susceptibility loci,judged,mo,['Genetics of Behcet disease inside and outside the MHC'],['10.1136/ard.2009.108571'],@mizuki2010,gpt-5.6-luna,exact,True,0,@meguro2009,,[],"The abstract explicitly says it examines the markers to confirm the earlier GWAS, but the supplied text does not identify that GWAS by author, year, or title, and the other cited works cannot be securely matched from their titles alone.",declines
10.1093/scan/nst102,Are ‘counter-intuitive’ deontological judgments really counter-intuitive? An empirical reply to Kahane<i>et al.</i>(2012),10.1093/scan/nsr005,The neural basis of intuitive and counterintuitive moral judgment,judged,split,"['Reflection and reasoning in moral judgment', 'Reflection and reasoning in moral judgment']","['10.1111/cogs.13168', '10.1111/cogs.13168']",@kahane2011,gpt-5.6-luna,exact,True,1,@paxton2011,,['@kahane2011'],"The paper directly tests a Kahane dilemma and says its results cast doubt on Kahane et al.'s conclusions; Greene et al. are identified as the source of a dilemma, not as a finding being re-tested.",same as old
10.2466/pr0.94.2.733-735,Self-Defeating Personality and Memories of Parents' Child-Rearing Behaviour: A Replication,10.2466/pr0.1993.73.3f.1232,Attachment Histories for People with Characteristics of Self-Defeating Personality,judged,mo,"[""Self-defeating personality and memories of parents' child-rearing behaviour""]",['10.2466/pr0.91.6.436-438'],@williams1993,gpt-5.6-luna,exact,True,0,@pezzarossa2002,,['@pezzarossa2002'],"The abstract identifies a replicated study of the same relationship, and the reference list contains a uniquely matching study title; the other cited works are not identified as the findings being retested.",switches to MO's
10.1177/008124630303300307,A Comparison of Native and Non-Native English-Speaking Groups' Understanding of the Vocabulary Contained within the 16PF (SA92),10.4102/sajip.v25i1.679,The comparability of the constructs of the 16PF in the South African context,judged,mo,['Qualitative and statistical impacts of home language on responses to the items of the Sixteen Personality Factor Questionnaire (16PF) in South Africa'],['10.1177/008124639902900204'],@abrahams1999_2,gpt-5.6-luna,exact,True,1,@abrahams1999,,['@abrahams1999'],The abstract explicitly says the qualitative phase of Abrahams and Mauer's study was replicated; the other listed works are not identified as being re-tested.,switches to MO's
10.1017/s1930297500003144,On making the right choice: A meta-analysis and large-scale replication attempt of the unconscious thought advantage,10.1126/science.1121629,On Making the Right Choice: The Deliberation-Without-Attention Effect,judged,split,['The unconscious thought advantage: Further replication failures from a search for confirmatory evidence'],['10.1017/s1930297500003338'],@dijksterhuis2006,gpt-5.4-mini,older_block,True,8,@nieuwenstein2012,,['@dijksterhuis2006'],"The abstract describes a large-scale replication of the UTA, which matches the cited Dijksterhuis and Bos paper named in the title, while the other cited works are presented as background or sources for the meta-analysis rather than separately re-tested findings.",same as old
10.1186/ar2423,Association of single-nucleotide polymorphisms in RHOB and TXNDC3 with knee osteoarthritis susceptibility: two case-control studies in East Asian populations and a meta-analysis,10.1086/511443,Genetic Association Analysis of RHOB and TXNDC3 in Osteoarthritis,judged,mo,"['Cis-and trans-acting gene regulation is associated with osteoarthritis', 'Cis-and trans-acting gene regulation is associated with osteoarthritis']","['10.1086/503849', '10.1086/503849']",@loughlin2007,gpt-5.6-luna,exact,True,0,@mahr2006,,['@loughlin2007'],"The paper explicitly describes its East Asian finding as a replication of the TXNDC3 association previously reported in European Caucasians, matching the listed RHOB/TXNDC3 study; other cited works are background or methods references.",same as old
10.1098/rspb.2009.1765,"Grapheme-colour synaesthesia improves detection of embedded shapes, but without pre-attentive ‘pop-out’ of synaesthetic colour",10.1038/35019148,Five plus two equals yellow,judged,mo,['Psychophysical investigations into the neural basis of synaesthesia'],['10.1098/rspb.2000.1576'],@dixon2000,gpt-5.6-luna,exact,True,4,@ramachandran2001_2,,['@dixon2000'],"The paper explicitly says it repeats the original embedded-shape study, which matches Dixon et al. (2000); other task-related studies are mentioned as context rather than individually retested.",same as old
10.1017/s0272263100015394,Explanation versus Structured Input in Processing Instruction,10.1017/s0272263100011979,Explicit Instruction and Input Processing,judged,split,['Input processing and second language acquisition: A role for instruction'],['10.2307/329557'],@vanpatten1993,gpt-5.6-luna,exact,True,3,,,['@vanpatten1993'],"The abstract explicitly says the study replicates VanPatten and Cadierno (1993), whose matching published record is listed; the other references are not identified as re-tested.",same as old
10.1101/lm.1896010,What makes recognition without awareness appear to be elusive? Strategic factors that influence the accuracy of guesses,10.1101/lm.1815010,Recognition without awareness: An elusive phenomenon,judged,mo,['Accurate forced-choice recognition without awareness of memory retrieval'],['10.1101/lm.971208'],@jeneson2010,gpt-5.6-luna,exact,True,6,@voss2008_2,,['@jeneson2010'],"Jeneson and colleagues’ reported failure is explicitly tied to the new test and its chance-level result, while the other prior studies are described as background demonstrations rather than individually identified targets.",same as old
10.1186/ar4504,Lack of validation of genetic variants associated with anti–tumor necrosis factor therapy response in rheumatoid arthritis: a genome-wide association study replication and meta-analysis,10.2119/2008-00056.liu,Genome-Wide Association Scan Identifies Candidate Polymorphisms Associated with Differential Response to Anti-TNF Treatment in Rheumatoid Arthritis,judged,mo,['Genome-wide association study of genetic predictors of anti-tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci'],['10.1002/art.30130'],@liu2008,gpt-5.6-luna,exact,True,0,,,[],"The paper tests the four variants attributed to a prior GWAS, but the supplied text does not name that study and several listed GWAS records could fit; the two subsequent failed replication studies are mentioned as context rather than as findings this paper re-tests.",declines
10.1177/153944928900900404,Direct Replication: Relationship of Upper Extremity Weight Bearing to Hand Skills of Boys with Cerebral Palsy,10.1177/153944928600600404,Improving Prehension Skills of Children with Cerebral Palsy: A Clinical Study,judged,mo,['Relationship of upper extremity weight bearing to hand skills of boys with cerebral palsy'],['10.1177/153944928900900302'],@barnes1986,gpt-5.6-luna,exact,True,0,@barnes1989,,['@barnes1986'],"The abstract identifies a direct replication of the investigator's previous positive-finding study, which matches the listed Barnes (1986) study; the other cited works provide background or methods rather than findings re-tested here.",same as old
10.1177/1526924816641814,The Potential (F)utility of a Passive Organ Donor Registration Opportunity,10.1080/13548506.2011.564353,Increasing organ donor registration rates by providing an immediate and complete registration opportunity: An experimental assessment of the IIFF model,judged,split,['Improving organ donor registration using kiosks in primary care clinics'],['10.1177/0017896914559854'],@alvaro2011,gpt-5.6-luna,exact,True,2,,,['@alvaro2011'],"The abstract explicitly says the current studies conceptually replicate the prior finding about a lone ICRO, which matches Alvaro et al. (2011); the other listed works are not identified as findings this paper re-tests.",same as old
10.1145/2915970.2915983,A replication study on the effects of weighted moving windows for software effort estimation,10.1002/smr.1672,On the effectiveness of weighted moving windows: Experiment on linear regression based software effort estimation,judged,both,['The evaluation of weighted moving windows for software effort estimation'],['10.1007/978-3-642-39259-7_18'],@amasaki2014,gpt-5.4-mini,older_block,True,2,@amasaki2013,,[],"The title indicates a replication of weighted moving-window effects, but the supplied text does not distinguish which of the several related cited papers is re-tested.",declines
10.1002/art.39619,Replication of Associations of Genetic Loci Outside the HLA Region With Susceptibility to Anti–Cyclic Citrullinated Peptide–Negative Rheumatoid Arthritis,10.1136/annrheumdis-2011-201225,Genetic markers of rheumatoid arthritis susceptibility in anti-citrullinated peptide antibody negative patients,judged,mo,['High-density genetic mapping identifies new susceptibility loci for rheumatoid arthritis'],['10.1038/ng.2462'],@viatte2012,gpt-5.6-luna,exact,True,1,@syndicate2012,,['@bossinicastillo2014'],"The paper explicitly re-tests markers from a prior discovery study, which matches Bossini-Castillo et al. (2014); other cited works are not identified as the study whose markers were re-tested.",switches to another
10.1080/10586458.2016.1173413,Reply to “Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi” [Bailey et al. 17],10.1080/10586458.2016.1163755,Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi,judged,mo,['The decimal expansion of π is not statistically random'],['10.1080/10586458.2013.870504'],@bailey2016,gpt-5.6-luna,exact,True,0,@ganz2014,,['@bailey2016'],"The paper directly completes statistical analysis of Bailey et al.’s results, while Ganz is identified as the source of the phenomenon under examination rather than the closest study whose analysis this reply re-evaluates.",same as old
10.18632/oncotarget.12903,Long-term exposure to air pollution is associated with biological aging,10.1289/ehp.0901831,Annual Ambient Black Carbon Associated with Shorter Telomeres in Elderly Men: Veterans Affairs Normative Aging Study,judged,mo,['Long-term ambient particle exposures and blood DNA methylation age: findings from the VA normative aging study'],['10.1093/eep/dvw006'],@mccracken2010,gpt-5.6-luna,exact,True,3,@nwanajienwerem2016,,['@mccracken2010'],"The abstract explicitly identifies a re-tested inverse BC–telomere association, which uniquely matches McCracken et al. (2010) in the supplied references; other cited works are not presented as findings this paper re-tests.",same as old
10.1073/pnas.1615198114,Failure to reproduce <i>period</i> -dependent song cycles in <i>Drosophila</i> is due to poor automated pulse-detection and low-intensity courtship,10.1186/1741-7007-12-38,Reported Drosophila courtship song rhythms are artifacts of data analysis,judged,split,"[""Circadian rhythm mutations in Drosophila melanogaster affect short-term fluctuations in the male's courtship song""]",['10.1073/pnas.77.11.6729'],@stern2014,gpt-5.6-luna,exact,True,0,@kyriacou1980,,['@stern2014'],"The paper directly reanalyses the songs and automated analyses associated with Stern (2014); the historical work is described as context, without evidence identifying a particular original paper that this paper itself re-tests.",same as old
10.1111/bjdp.12216,"Social, cognitive, and physiological aspects of humour perception from 4 to 8 months: Two longitudinal studies",10.1016/j.jecp.2015.03.012,Laughing matters: Infant humor in the context of parental affect,judged,mo,"['Social looking, social referencing and humor perception in 6-and 12-month-old infants', 'Social looking, social referencing and humor perception in 6-and 12-month-old infants']","['10.1016/j.infbeh.2014.06.004', '10.1016/j.infbeh.2014.06.004']",@mireault2015,gpt-5.6-luna,exact,True,2,@mireault2014,,[],"The abstract explicitly identifies one replicated finding but does not connect it to a specific listed reference, and the other cited works cannot be treated as targets from topical relevance alone.",declines
10.1007/bf00880778,The prediction of “shows” and “no‐shows” to a crisis center,10.1037/h0034578,Show versus no show: A comparison of referral calls to a suicide prevention and crisis service.,judged,mo,['Toward an evaluation of telephone counseling'],['10.1007/bf00878974'],@slaikeu1973,gpt-5.6-luna,exact,True,0,@tapp1974,,['@slaikeu1973'],"The abstract explicitly identifies a previous investigation whose show-versus-no-show finding this study replicated, and the listed Slaikeu et al. study is the uniquely fitting record; the other references are not identified as re-tested.",same as old
10.1093/ntr/nty218,Is Brain Derived Neurotrophic Factor (Bdnf) Associated With Smoking Initiation? Replication Using a Large Finnish Population Sample,10.1007/s00213-006-0647-1,Association of the met66 allele of brain-derived neurotrophic factor (BDNF) with smoking,judged,mo,['Genome-wide meta-analyses identify multiple loci associated with smoking behavior'],['10.1038/ng.571'],@lang2006,gpt-5.6-luna,exact,True,0,@furberg2010,,['@lang2006'],"The paper explicitly re-tests the previously reported BDNF–smoking initiation association, which uniquely matches Lang et al. (2006) among the listed records; the other cited works provide background or methods rather than being re-tested.",same as old
10.1111/cogs.12721,Entrainment and Modulation of Gesture–Speech Synchrony Under Delayed Auditory Feedback,10.7208/chicago/9780226514642.001.0001,Gesture and Thought,judged,mo,['Hand and mind: What gestures reveal about thought'],['10.2307/415833'],@mcneill2005,gpt-5.6-luna,exact,True,3,@feyereisen1994,,[],"The paper explicitly says it conceptually replicates McNeill's study, but the missing year prevents confidently matching it to one of the several listed McNeill records; the other cited works are not identified as re-tested.",declines
10.3389/fpsyg.2019.01381,Moral Elevation and Economic Games: The Moderating Role of Personality,10.1080/17439760.2012.754926,"A moral act, elevation, and prosocial behavior: Moderators of morality",judged,mo,"['Who engages with moral beauty?', 'It takes two: honesty-humility and agreeableness differentially predict active versus reactive cooperation']","['10.1080/03057240.2013.785941', '10.1016/j.paid.2012.11.008']",@thomson2013,gpt-5.6-luna,exact,True,4,@diessner2013,,[],"The abstract expressly identifies one set of prior findings as being re-tested, but it gives no citation and the supplied references do not uniquely identify the original; the other cited works are not stated to be re-tested.",declines
10.1534/g3.117.300366,Analysis of Copy Number Variants on Chromosome 21 in Down Syndrome-Associated Congenital Heart Defects,10.1038/gim.2014.144,Contribution of copy-number variation to Down syndrome–associated atrioventricular septal defects,judged,mo,['The complex SNP and CNV genetic architecture of the increased risk of congenital heart defects in Down syndrome'],['10.1101/gr.147991.112'],@ramachandran2014,gpt-5.6-luna,exact,True,1,@sailani2013,,['@ramachandran2014'],"The abstract explicitly reports failure to replicate previously associated DS+AVSD CNVs, matching the listed CNV study focused on Down syndrome-associated atrioventricular septal defects; the other cited works are not identified as findings re-tested here.",same as old
10.1080/00224499.2019.1669135,Discrepant Responding across Measures of College Students’ Sexual Victimization Experiences: Conceptual Replication and Extension,10.1037/a0037584,Measuring sexual aggression perpetration in college men: A comparison of two measures.,judged,mo,"[""Discrepant responding across self-report measures of men's coercive and aggressive sexual strategies""]",['10.1080/00224499.2011.646393'],@testa2014,gpt-5.4-mini,exact,True,0,@strang2012,,['@strang2012'],The paper frames its comparison as a conceptual replication of the earlier discrepancy finding associated with Strang et al. (2012); the other listed works are not identified as findings this study re-tests.,switches to MO's
10.1177/1948550619887702,A Multilab Replication of the Ego Depletion Effect,10.1177/1745691616652873,A Multilab Preregistered Replication of the Ego-Depletion Effect,judged,mo,"['The ego could be depleted, providing initial exertion is depleting: A pre-registered experiment of ego depletion']",['10.1027/1864-9335/a000308'],@hagger2016,gpt-5.6-luna,exact,True,2,@dang2017_2,,['@hagger2016'],"The abstract explicitly says the paper re-tests the Stroop-to-antisaccade experiment, which matches Hagger et al. (2016); the other cited works are not identified as the experiment being re-tested.",same as old
10.1523/eneuro.0332-19.2020,Early Restoration of<i>Shank3</i>Expression in<i>Shank3</i>Knock-Out Mice Prevents Core ASD-Like Behavioral Phenotypes,10.1038/nature09965,Shank3 mutant mice display autistic-like behaviours and striatal dysfunction,judged,mo,"['Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function', 'Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function', 'Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function', 'Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function', 'Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function']","['10.1002/aur.1664', '10.1002/aur.1664', '10.1002/aur.1664', '10.1002/aur.1664', '10.1002/aur.1664']",@pea2011,gpt-5.6-luna,exact,True,0,@jaramillo2016,,[],"The abstract explicitly says the study replicates previously demonstrated Shank3-mutant behaviors, but it gives no citation or other evidence that uniquely identifies the original study; other cited works are not established as targets.",declines
10.1016/j.bionps.2020.100014,Auditory paired-stimuli responses across the psychosis and bipolar spectrum and their relationship to clinical features,10.1111/j.1469-8986.2011.01327.x,Spatiotemporal and frequency domain analysis of auditory paired stimuli processing in schizophrenia and bipolar disorder with psychosis,judged,mo,['Diagnostic specificity and familiality of early versus late evoked potentials to auditory paired stimuli across the schizophrenia-bipolar psychosis spectrum'],['10.1111/psyp.12185'],@hamm2011,gpt-5.6-luna,exact,True,1,@hamm2014,,[],"The abstract explicitly re-tests prior B-SNIP1 paired-stimuli findings, but it does not name the original publication and more than one listed Hamm paper could fit.",declines
