doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,filter_status,filter_method,filter_evidence,filter_confidence
10.1093/qje/qjac034,Improving Workplace Climate in Large Corporations: A Clustered Randomized Intervention,"Abstract 
                We evaluate the impact of a training program aimed at improving the relational atmosphere in the workplace. The program encourages prosocial behavior and the use of professional language, focusing primarily on leaders’ behavior and leader-subordinate interactions. We implement this program using a clustered randomized design involving over 3,000 headquarters employees of 20 large corporations in Turkey. We evaluate the program with respect to employee separation, pro- and antisocial behavior, the prevalence of support networks, and perceived workplace climate. We find that treated firms have a lower likelihood of employee separation at the leadership level, fewer employees lacking professional and personal help, and denser, less segregated support networks. We also find that employees in treated corporations are less inclined to engage in toxic competition, exhibit higher reciprocity toward each other, and report higher workplace satisfaction and a more collegial environment. The program’s success in improving leader-subordinate relationships emerges as a likely mechanism to explain these results. Treated subordinates report higher professionalism and empathy in their leaders and are more likely to consider their leaders as professional support providers.",2022,"Alan, S.; Corekcioglu, G.; Sutter, M.",The Quarterly Journal of Economics,https://doi.org/10.1093/qje/qjac034,,manual,replication,manual,manually added from DOI list,high
10.1093/restud/rdab056,Who Chooses Commitment? Evidence and Welfare Implications,"Abstract 
                This article investigates whether offers of commitment contracts, in the form of self-imposed choice-set restrictions and penalties with no financial upside, are well-targeted tools for addressing self-control problems. In an experiment on gym attendance (N$=1{,}248$), we examine take-up of commitment contracts and also introduce a separate elicitation task to identify actual and perceived time inconsistency. There is high take-up of commitment contracts for greater gym attendance, resulting in significant increases in exercise. However, this take-up is influenced both by noisy valuation and incorrect beliefs about one’s time inconsistency. Approximately half of the people who take up commitment contracts for higher gym attendance also take up commitment contracts for lower gym attendance. There is little association between commitment contract take-up and reduced-form and structural estimates of actual or perceived time inconsistency. A novel information treatment providing an exogenous shock to awareness of time inconsistency reduces demand for commitment contracts. Structural estimates of a model of quasi-hyperbolic discounting and gym attendance imply that offering our commitment contracts lowers consumer surplus and is less socially efficient than utilizing linear exercise subsidies that achieve the same average change in behaviour.",2022,"Carrera, M.; Royer, H.; Stehr, M.; Sydnor, J.; Taubinsky, D.",The Review of Economic Studies,https://doi.org/10.1093/restud/rdab056,,manual,replication,manual,manually added from DOI list,high
10.1007/s10864-005-2703-z,A Preliminary Investigation of the Relationship Between Fluency and Application for Multiplication,,2005,"Lin, F.; Kubina, R.",Journal of Behavioral Education,https://doi.org/10.1007/s10864-005-2703-z,,manual,replication,manual,manually added from DOI list,high
10.1037/a0031337,The negative testing effect and multifactor account.,,2013,"Peterson, D.; Mulligan, N.","Journal of Experimental Psychology: Learning, Memory, and Cognition",https://doi.org/10.1037/a0031337,,manual,replication,manual,manually added from DOI list,high
10.1007/s10940-015-9263-8,Is the Effect of Procedural Justice on Police Legitimacy Invariant? Testing the Generality of Procedural Justice and Competing Antecedents of Legitimacy,,2016,"Wolfe, S.; Nix, J.; Kaminski, R.; Rojek, J.",Journal of Quantitative Criminology,https://doi.org/10.1007/s10940-015-9263-8,,manual,replication,manual,manually added from DOI list,high
10.1111/j.1467-7687.2005.00441.x,Fast mapping between a phrasal form and meaning,"Abstract    This is the first study to investigate experimentally how children come to learn mappings between novel phrasal forms and novel meanings: a central task in learning a language. Two experiments are reported. In both studies 5‐ to 7‐year‐old children watched a short set of video clips depicting objects appearing in various ways. Each scene was described using a novel verb embedded in a novel construction. Children who watched the videos and heard the accompanying description were able to match new descriptions that used the novel construction with new scenes of appearance. Moreover, our results suggest a facilitative effect for the disproportionately high frequency of occurrence of a single verb in a particular construction (such as has been found to exist in naturalistic input to children). While the fast mapping might be taken as an indication of innate knowledge that is specific to language, analogous effects in non‐linguistic categorization tasks suggest that children are acquiring the new phrasal form with general cognitive skills.",2005,"Casenhiser, D.; Goldberg, A.",Developmental Science,https://doi.org/10.1111/j.1467-7687.2005.00441.x,,manual,replication,manual,manually added from DOI list,high
10.1037/0278-7393.4.1.19,Semantic integration of verbal information into a visual memory.,,1978,"Loftus, E.; Miller, D.; Burns, H.",Journal of Experimental Psychology: Human Learning and Memory,https://doi.org/10.1037/0278-7393.4.1.19,,manual,replication,manual,manually added from DOI list,high
10.1002/npr2.70029,"Clinical Characteristics of Patients With Enlarged Ventricles and Cognitive Impairment (
                    <scp>EVCI</scp>
                    ): Case Series","ABSTRACT 
                   
                     Background 
                     Since research on the pathophysiology of psychiatric disorders diagnosed by symptoms has not succeeded, a data‐driven analysis incorporating biological and cross‐disease perspectives has been proposed. We have reported a new subgroup of psychiatric disorders by a data‐driven analysis of subcortical volumes of brain MRI in 5602 subjects, including patients with psychiatric disorders and controls. This subgroup of patients is characterized by enlarged ventricle and cognitive impairment (EVCI) with a high proportion of schizophrenia, electroencephalography abnormalities, and rare pathological copy number variations. 
                   
                   
                     Case Presentation 
                     Of the nine patients with EVCI, eight patients had schizophrenia, and one patient had autism spectrum disorder. Early onset of age was observed in eight patients with schizophrenia. Treatment responses were poor in seven patients with schizophrenia, and two of three treatment‐resistant schizophrenia patients responded to clozapine. Four patients showed ischemic changes in cerebral white matter. In electroencephalography, abnormal findings were observed in five patients, borderline findings in two patients, and normal findings in two patients. Rare pathogenic copy number variations were found in three patients (22q11.21 deletion, 7q11.23 duplication, and 7q36.2 deletion). 
                   
                   
                     Conclusions 
                     The results of this case series showed additional clinical features of treatment response and ischemic changes in cerebral white matter, which could be a clue to the treatment and diagnosis of EVCI. This case series might help elucidate the pathophysiology of EVCI.",2025,"Yasuda, Y.; Ito, S.; Matsumoto, J.; Onitsuka, T.; Yamamori, H.; Fujimoto, M.; Hasegawa, N.; Ikeda, M.",Neuropsychopharmacology Reports,https://doi.org/10.1002/npr2.70029,,manual,replication,manual,manually added from DOI list,high
10.1026//0033-3042.52.3.131,Effekte des generischen Maskulinums und alternativer Sprachformen auf den gedanklichen Einbezug von Frauen,"Zusammenfassung. In der feministischen Linguistik wird angenommen, daß maskuline Bezeichnungen, die generisch benutzt werden (Bezeichnungen von Personen beiderlei Geschlechts durch die maskuline Form, wie z.B. die Wissenschaftler, die Studenten), weibliche Personen weniger vorstellbar oder sichtbar machen als männliche Personen. Verschiedene experimentelle Untersuchungen konnten diese Annahme für den englischen Sprachraum bestätigen. Für die deutsche Sprache existieren dagegen bislang sehr wenige Studien zu dieser Frage. Es werden vier Experimente vorgestellt, die untersuchen, ob unterschiedliche Sprachversionen - ,Beidnennung‘ (Studentinnen und Studenten), ,Neutral‘ (Studierende), ,Generisches Maskulinum‘ (Studenten) und “Großes I“ (StudentInnen) - den gedanklichen Einbezug von Frauen beeinflussen. Über alle Experimente hinweg zeigte sich, daß bei Personenreferenzen im generischen Maskulinum ein geringerer gedanklicher Einbezug von Frauen zu beobachten war als bei alternativen Sprachformen wie der Beidnennung oder dem “Großen I“ (z.B. seltenere Nennungen von beliebten weiblichen Persönlichkeiten oder von politischen Kandidatinnen für das Amt des Bundeskanzlers/der Bundeskanzlerin der BRD).",2001,"Stahlberg, D.; Sczesny, S.",Psychologische Rundschau,https://doi.org/10.1026//0033-3042.52.3.131,,manual,replication,manual,manually added from DOI list,high
10.7554/elife.09976,Registered report: RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth,"The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (&lt;xref ref-type=""bibr"" rid=""bib2""&gt;Errington et al., 2014&lt;/xref&gt;). This Registered Report describes the proposed replication plan of key experiments from 'RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth' by Hatzivassiliou and colleagues, published in Nature in 2010 (&lt;xref ref-type=""bibr"" rid=""bib7""&gt;Hatzivassiliou et al., 2010&lt;/xref&gt;). Hatzivassiliou and colleagues examined the paradoxical response of RAF-WT tumors to treatment with RAF inhibitors. The key experiments being replicated include Figure 1A, in which the original authors demonstrated that treatment of a subset of BRAFWT tumor cell lines with RAF small molecule inhibitors resulted in an increase in cell viability, Figure 2B, which reported that RAF inhibitor activation of the MAPK pathway was dependent on CRAF but not BRAF, and Figure 4A, where the dimerization of BRAF and CRAF was modulated by the RAF inhibitor PLX4720, but not GDC-0879. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.",2016,"Bhargava, A.; Pelech, S.; Woodard, B.; Kerwin, J.; Maherali, N.",eLife,https://doi.org/10.7554/elife.09976,,manual,replication,manual,manually added from DOI list,high
10.1002/ajpa.20935,Hip extensor EMG and forelimb/hind limb weight support asymmetry in primate quadrupeds,"Abstract  Higher weight support on the hind limb than forelimb is among the distinctive characteristics of primate quadrupeds. Although often assumed to be due to a more posteriorly positioned whole body center of mass, there are little data to support such a difference. Reynolds (1985. Am J Phys Anthropol 67:335–349) notes that the distribution of forces on the limbs can also be influenced by average limb posture, but suggests that this effect is too small to account for the asymmetry in weight support observed in primates. Instead, he proposes that high hind limb forces are brought about by an active process of shifting weight off the forelimbs and onto the hind limbs through use of hind limb retractors. In this study, we use video records of walking animals to explore the degree to which average limb posture in primates and other quadrupedal mammals deviates from vertical, and use electromyography to test Reynolds' model of hind limb retractor activity and posterior weight shift. The limb posture results indicate that primate forelimbs oscillate about a vertical or slightly retracted axis, and though the hind limbs are slightly protracted, the magnitude of deviation from vertical is too small to have a major effect on weight support distribution. The electromyographic results reveal higher levels of hip extensor activity in antipronograde primates that bear a higher proportion of weight on their hind limbs. This lends support to Reynolds' suggestion that some primates use muscles to actively shift weight onto hind limbs to relieve stresses on forelimbs less well structured for weight support. Am J Phys Anthropol, 2009. © 2008 Wiley‐Liss, Inc.",2009,"Larson, S.; Stern, J.",American Journal of Physical Anthropology,https://doi.org/10.1002/ajpa.20935,,manual,replication,manual,manually added from DOI list,high
10.1186/1471-2164-10-350,Type I interferon receptor-independent and -dependent host transcriptional responses to mouse hepatitis coronavirus infection in vivo,"Abstract   Background  The role of type I IFNs in protecting against coronavirus (CoV) infections is not fully understood. While CoVs are poor inducers of type I IFNs in tissue culture, several studies have demonstrated the importance of the type I IFN response in controlling MHV infection in animals. The protective effectors against MHV infection are, however, still unknown.    Results  In order to get more insight into the antiviral gene expression induced in the brains of MHV-infected mice, we performed whole-genome expression profiling. Three different mouse strains, differing in their susceptibility to infection with MHV, were used. In BALB/c mice, which display high viral loads but are able to control the infection, 57 and 121 genes were significantly differentially expressed (≥ 1.5 fold change) upon infection at 2 and 5 days post infection, respectively. Functional association network analyses demonstrated a strong type I IFN response, with Irf1 and Irf7 as the central players. At 5 days post infection, a type II IFN response also becomes apparent. Both the type I and II IFN response, which were more pronounced in mice with a higher viral load, were not observed in 129SvEv mice, which are much less susceptible to infection with MHV. 129SvEv mice lacking the type I interferon receptor (IFNAR-/-), however, were not able to control the infection. Gene expression profiling of these mice identified type I IFN-independent responses to infection, with IFN-γ as the central player. As the BALB/c and the IFNAR-/- 129SvEv mice demonstrated very similar viral loads in their brains, we also compared their gene expression profiles upon infection with MHV in order to identify type I IFN-dependent transcriptional responses. Many known IFN-inducible genes were detected, several of which have previously been shown to play an important protective role against virus infections. We speculate that the additional type I IFN-dependent genes that we discovered may also be important for protection against MHV infection.    Conclusion  Transcriptional profiling of mice infected with MHV demonstrated the induction of a robust IFN response, which correlated with the viral load. Profiling of IFNAR-/- mice allowed us to identify type I IFN-independent and -dependent responses. Overall, this study broadens our present knowledge of the type I and II IFN-mediated effector responses during CoV infection in vivo .",2009,"Raaben, M.; Groot Koerkamp, M.; Rottier, P.; de Haan, C.",BMC Genomics,https://doi.org/10.1186/1471-2164-10-350,,manual,replication,manual,manually added from DOI list,high
