pair_id,group,variant,shipped,outcome,reason,err
4d4b238c1b6b9a1dd12357b402997383,mixed_vs_mo_failure,M1,mixed,failed,"The primary efficacy comparison did not show a chromium advantage, although the reported symptom-item and high-craving subgroup results make the paper’s overall conclusion about the original therapeutic-response finding uncertain.",
dcf131d2ce5afc93db1c47d26e11a506,mixed_vs_mo_success,M0,mixed,mixed,"The paper reports stress scores similar to the original but satisfaction scores significantly different, so the comparison supports some findings but not others.",
dcf131d2ce5afc93db1c47d26e11a506,mixed_vs_mo_success,M1,mixed,mixed,"The paper reports similar stress levels and satisfaction rankings but also reports lower satisfaction scores in the replication, presenting both agreement and a difference from the original.",
57a4e55b394334016dfc96c6e684d3cd,mixed_vs_mo_success,M0,mixed,mixed,"The rs2651899 finding from Chasman was replicated, while the other tested Chasman risk-marker findings were among the SNPs without significant association, making the results mixed for this paper’s set of findings.",
57a4e55b394334016dfc96c6e684d3cd,mixed_vs_mo_success,M1,mixed,mixed,The paper reports support for rs2651899 but no significant association for the other tested susceptibility SNPs from this study.,
b33511e957b05048f26388f5b7a4327f,mixed_vs_mo_failure,M0,mixed,mixed,"The paper says it reproduced the contour-length finding but also reports simultaneous attention to number, so the evidence partly agrees with and partly diverges from the original result.",
b33511e957b05048f26388f5b7a4327f,mixed_vs_mo_failure,M1,mixed,mixed,"The paper says it reproduced the contour-length finding but also found simultaneous attention to number, qualifying the original implication that continuous properties were preferentially attended.",
b6c3ec1e2b9014b3902ca940de5aee47,mixed_vs_mo_failure,M0,mixed,cannot_be_determined,The abstract reports results for the variants but does not identify which original study findings they came from or compare those results with the originals.,
b6c3ec1e2b9014b3902ca940de5aee47,mixed_vs_mo_failure,M1,mixed,cannot_be_determined,The abstract reports results for the variants but does not identify the original study findings or compare those results with what the originals reported.,
32ce0859c93b5ee21898496adf08994e,mixed_vs_mo_success,M0,mixed,successful,"The authors conclude that most tested loci show the original lipid associations, so the overall comparison supports the target despite not confirming every locus.",
32ce0859c93b5ee21898496adf08994e,mixed_vs_mo_success,M1,mixed,mixed,"The paper reports replication for 18 of the 22 tested loci, presenting partial rather than complete agreement with the original findings.",
f37d041d880ee9500f6569e861df12ee,mixed_vs_mo_failure,M0,mixed,cannot_be_determined,The paper reports results for the tested loci but does not establish how its VFA and V/S findings compare with the original waist-hip-ratio findings as a whole.,
f37d041d880ee9500f6569e861df12ee,mixed_vs_mo_failure,M1,mixed,failed,"The authors state that the tested SNP set did not show a significant association with fat distribution, rather than concluding that the Da Marre findings were confirmed.",
6697bfb5e09c837a143dca758ae6cf4d,mixed_vs_mo_failure,M0,mixed,mixed,"The authors report failure to replicate the two SNP associations in the Swedish sample but say the meta-analysis confirmed them, presenting both disagreement and support.",
6697bfb5e09c837a143dca758ae6cf4d,mixed_vs_mo_failure,M1,mixed,mixed,"The Northern Swedish sample did not reproduce the named SNP associations, while the meta-analysis confirmed them, so the paper reports both disagreement and support.",
1debaaaa21ad3dcc4dc6b7441cb75ce8,mixed_vs_mo_failure,M0,mixed,mixed,"The Swedish sample did not replicate the reported SNP associations, whereas the meta-analysis confirmed them, so the paper presents both disagreement and support.",
1debaaaa21ad3dcc4dc6b7441cb75ce8,mixed_vs_mo_failure,M1,mixed,mixed,"The study reports that its Northern Swedish sample did not replicate the associations but that its meta-analysis confirmed them, presenting both disagreement and agreement with the reported finding.",
95540062ed277d76baebffd78f6dd545,mixed_vs_mo_success,M0,mixed,mixed,The paper reports a result that contrasts with the earlier study for the anxiety-depression subscale and agreement for the psychotic disintegration scale and BPRS-18 global scores.,
95540062ed277d76baebffd78f6dd545,mixed_vs_mo_success,M1,mixed,mixed,"The anxiety-depression reliability result differed from the 1991 study, while the psychotic disintegration and BPRS-18 results agreed with it.",
f3decdb8690a5e58872a8ce778bee2a6,mixed_vs_mo_success,M0,mixed,mixed,"The authors report that the HLA-B7 association replicated but the previously suggested APOE ε4 interaction did not, so the original study's findings received differing outcomes.",
f3decdb8690a5e58872a8ce778bee2a6,mixed_vs_mo_success,M1,mixed,mixed,The paper reports that the HLA-B7 association replicated but that the previously suggested APOE4 interaction did not.,
5beac597e011a8e0034648d72c33c283,mixed_vs_mo_success,M0,mixed,successful,The authors explicitly state that the 1958 cohort supports the cited 1946 cohort psychopathology finding.,
5beac597e011a8e0034648d72c33c283,mixed_vs_mo_success,M1,mixed,successful,The authors explicitly say the adult psychopathology finding from this target was supported.,
1b14222bd8f305c032c3f6e16e8521c2,mixed_vs_mo_failure,M0,mixed,failed,The authors explicitly state that their results do not support the 1946 cohort's finding that persistent activity increased CFS/ME risk.,
1b14222bd8f305c032c3f6e16e8521c2,mixed_vs_mo_failure,M1,mixed,failed,The authors explicitly report that the 1946 cohort’s increased-risk finding for persistent activity was not supported.,
550f70906d798754104aaf3f1caa1fd3,mixed_vs_mo_success,M0,mixed,mixed,The paper reports agreement on the variance finding but explicitly contrasts its IQ result with Reber et al.'s findings.,
550f70906d798754104aaf3f1caa1fd3,mixed_vs_mo_success,M1,mixed,mixed,The paper reports agreement with Reber et al. on the variance finding but explicitly contrasts its IQ result with their findings.,
93613ba0f994f5ed07c9b74748bf8dc6,mixed_vs_mo_failure,M0,mixed,mixed,"The authors describe the results as only partially confirming Foster's findings, indicating partial agreement rather than full success or failure.",
93613ba0f994f5ed07c9b74748bf8dc6,mixed_vs_mo_failure,M1,mixed,mixed,"The authors describe the results as only partially confirming Foster's findings, indicating that the replication did not support all of them.",
18904290b31f6528231483af52291a97,mixed_vs_mo_success,M0,mixed,mixed,"The abstract reports shared findings with Felix (2001) as well as differences in student experience and gender findings, so the comparison is mixed rather than wholly confirming or contradicting the original.",
18904290b31f6528231483af52291a97,mixed_vs_mo_success,M1,mixed,mixed,"The abstract reports several findings as shared across the studies but also explicitly identifies differences, including differential gender findings.",
86c957620b0094acf71c42e268316af1,mixed_vs_mo_success,M0,mixed,mixed,"The paper reports confirming ARID5B, which both original GWASs found, while also saying it did not replicate the reported IKZF1 association, so the re-tested findings did not all agree.",
86c957620b0094acf71c42e268316af1,mixed_vs_mo_success,M1,mixed,mixed,"The paper reports confirmation of ARID5B findings but failure to reproduce other tested GWAS associations, so the findings from this original were not uniformly supported.",
90ace89965be9e49621319c07c175001,mixed_vs_mo_failure,M0,mixed,mixed,"The paper reports replication for a subset of the previously identified regions only, indicating partial agreement with the original findings.",
90ace89965be9e49621319c07c175001,mixed_vs_mo_failure,M1,mixed,mixed,"The paper reports replication evidence only for the previous chromosome 8 regions, indicating partial support rather than confirmation or failure of all the original linkage findings.",
031e49ca64001680ded152f3f9b9995b,mixed_vs_mo_failure,M0,mixed,failed,"The exact replication and the other later experiments found no priming effect, and the authors conclude that any effect is less robust than initially thought.",
031e49ca64001680ded152f3f9b9995b,mixed_vs_mo_failure,M1,mixed,failed,"The authors’ overall conclusion is that the reported effect is less robust, with no priming effects found in three of the four experiments, rather than that the original finding was confirmed.",
eb8d946844271f583f76c8435d70d418,mixed_vs_mo_failure,M0,mixed,mixed,"The authors report evidence generally favoring the null for the original coordinates, while also describing some support for the original finding from multiple regression.",
eb8d946844271f583f76c8435d70d418,mixed_vs_mo_failure,M1,mixed,mixed,"The direct analyses generally favored the null for the original posterior SPL correlations, while the authors also report some support for an original finding from the multiple-regression analyses.",
9409aac64f9044e1e74d8f77c0a5a766,mixed_vs_mo_success,M0,mixed,mixed,The paper reports reproducing the correspondence for trombone but explicitly contrasts its taster-status correlation with the original's null finding.,
9409aac64f9044e1e74d8f77c0a5a766,mixed_vs_mo_success,M1,mixed,mixed,"The paper says the correspondence was replicated for trombone but reports a taster-status result that contrasts with the original, so the compared findings were not uniformly in agreement.",
7e16a1f323e52065b20ad0ff6ce41ba4,mixed_vs_mo_success,M0,mixed,mixed,"The authors report that most, but not all, previously reported sequences were replicated, presenting a partial rather than complete confirmation.",
7e16a1f323e52065b20ad0ff6ce41ba4,mixed_vs_mo_success,M1,mixed,mixed,"The paper reports that five of the seven previously reported dysregulated sequences replicated, indicating agreement for some but not all of the target findings.",
c35b7bba738569699861f37b206ed283,mixed_vs_mo_success,M0,mixed,mixed,"The paper reports agreement with the original on the tendency to answer easy questions correctly, but a contrasting estimate of accuracy below 50% rather than the original’s above-50% estimate.",
c35b7bba738569699861f37b206ed283,mixed_vs_mo_success,M1,mixed,mixed,"The paper reports the original pattern of correctness varying with question difficulty but contrasts its below-50% accuracy estimates with the original’s above-50% estimates, so the re-tested findings do not all agree.",
221fb3a19a47b6080239a46d5a88a053,mixed_vs_mo_failure,M0,mixed,failed,"The paper explicitly says it did not replicate the target finding of a shift from episodic to semantic retrieval, despite observing other time-frame effects.",
221fb3a19a47b6080239a46d5a88a053,mixed_vs_mo_failure,M1,mixed,mixed,"The authors explicitly characterize the evidence as mixed, with some reported patterns aligning with prior findings but no consistent evidence for the hypothesized shift.",
0e06c93a6e40bbe39b42d0c3ad5ac0a6,mixed_vs_mo_success,M0,mixed,mixed,"The authors report similarities with the original alongside specific notable differences, presenting both agreement and disagreement rather than an unqualified confirmation.",
0e06c93a6e40bbe39b42d0c3ad5ac0a6,mixed_vs_mo_success,M1,mixed,mixed,"The comparison reports substantial similarities alongside notable differences from the original study, so the authors present both agreement and disagreement rather than an unqualified replication.",
43b0750b1f780fdbc92ae5a751db97fa,mixed_vs_mo_success,M0,mixed,successful,The authors’ overall verdict is that most findings replicated and the original results are generally valid; the reported differences do not amount to an overall claim of failure.,
43b0750b1f780fdbc92ae5a751db97fa,mixed_vs_mo_success,M1,mixed,successful,"The authors’ overall verdict is that most findings from Lachmann et al. were replicated, despite noting some differences in particular associations.",
5a99a5f4febbd1530d9d23110862056c,mixed_vs_mo_success,M0,mixed,cannot_be_determined,"The conclusion describes consistency between the two experiments and notes that some dimensions were less consistent, but does not establish how the original study's findings were re-tested.",
5a99a5f4febbd1530d9d23110862056c,mixed_vs_mo_success,M1,mixed,cannot_be_determined,The conclusions describe overlap between experiments and less-consistent dimensions but do not establish how those results compare with the original study's findings.,
a886a5b5d10848862e6b47df0850eddb,mixed_vs_mo_success,M0,mixed,mixed,"The replication found some N-back benefits but not the generalised benefits to structurally different working-memory tasks reported for the original, so its evidence is partly supportive and partly divergent.",
a886a5b5d10848862e6b47df0850eddb,mixed_vs_mo_success,M1,mixed,mixed,"The paper reports benefits on some N-back measures but no benefits on structurally different tasks, so its results support only part of the original's reported generalised benefit.",
633aba53ece2f414598c8fbff6ce1d6c,mixed_vs_mo_success,M0,mixed,successful,"The abstract explicitly confirms the model's superiority over the comparison methods, while the stated instance of infeasibility is a caveat rather than a verdict that the central finding failed.",
633aba53ece2f414598c8fbff6ce1d6c,mixed_vs_mo_success,M1,mixed,successful,"The abstract explicitly says the study confirms the semiparametric model’s superiority, while the noted infeasibility in one instance does not overturn that overall positive verdict.",
5d35be216eec6d6ca1b1ead80e9bafe4,mixed_vs_mo_success,M0,mixed,mixed,"The paper contrasts its less reliable extinction decreases with previous findings but reports renewal and resurgence, so the results do not uniformly agree or disagree.",
5d35be216eec6d6ca1b1ead80e9bafe4,mixed_vs_mo_success,M1,mixed,mixed,"The paper contrasts less reliable extinction with the original findings against observed renewal and resurgence, so its comparisons point in both directions.",
ea97aa8e14707f12b1be2fd21c5edb1b,mixed_vs_mo_success,M0,mixed,successful,The authors explicitly report replicating the majority of the sex differences from Ritchie et al.,
ea97aa8e14707f12b1be2fd21c5edb1b,mixed_vs_mo_success,M1,mixed,successful,"The authors explicitly say that most of the target study’s reported sex differences were replicated, without framing the remaining differences as a failed replication.",
c26bbcfebde11d41d1bbe0930e273def,mixed_vs_mo_success,M0,mixed,successful,"The authors explicitly say these findings replicated the USA study, and the abstract does not state that any tested result contradicted it.",
c26bbcfebde11d41d1bbe0930e273def,mixed_vs_mo_success,M1,mixed,successful,The authors explicitly say that the Australian results replicated findings of the USA study.,
b15f4abeea3f219c09ae51e4eeda742b,mixed_vs_mo_failure,M0,mixed,failed,"The paper explicitly contrasts its null result for manipulated empathy with Fultz et al.’s reported increase in helping, so the target finding was not supported.",
b15f4abeea3f219c09ae51e4eeda742b,mixed_vs_mo_failure,M1,mixed,failed,"The paper reports that the original's experimentally manipulated empathy effect on helping was not reproduced, while its additional correlational findings do not establish that original effect.",
49c2d1dbebb6426ad06fbe617c9688ef,mixed_vs_mo_success,M0,mixed,successful,"The paper says the positive association remains, indicating agreement with the contextual effect it identifies as a finding of the original study.",
49c2d1dbebb6426ad06fbe617c9688ef,mixed_vs_mo_success,M1,mixed,successful,"The abstract says the development–living-alone association remains positive, supporting the contextual finding attributed to the original, while the other reported differences are not explicitly framed as failures to replicate an original finding.",
cd17ea822f2f04e946d8743977019a82,mixed_vs_mo_success,M0,mixed,successful,"The authors’ overall assessment is that most results of the target study were replicated, which supports a successful verdict.",
cd17ea822f2f04e946d8743977019a82,mixed_vs_mo_success,M1,mixed,successful,The authors’ overall verdict says that most of the target study’s results were replicated.,
4ecfe8cba091619e60ea41be95d081a5,mixed_random,M0,mixed,mixed,"The authors report evidence for the effect in only one debate and describe the overall support as inconsistent, indicating both support and failure to reproduce the finding across contexts.",
4ecfe8cba091619e60ea41be95d081a5,mixed_random,M1,mixed,mixed,"The authors describe inconsistent support, with evidence for the effect confined to one debate, rather than a consistent confirmation or complete absence.",
4597c1c1855e5115745a30879e29798a,mixed_random,M0,mixed,cannot_be_determined,The abstract reports mixed results across hypotheses but does not identify which finding belongs to a specific original study.,
4597c1c1855e5115745a30879e29798a,mixed_random,M1,mixed,cannot_be_determined,The abstract contrasts some hypotheses with prior research but does not identify which original study or finding the comparison concerns.,
3c642dcda3b6bdfa2363c5961ef2cb46,mixed_random,M0,mixed,mixed,"The paper reports support for the mediation finding for OCBO and OCBI, but says it could not replicate that finding for employee performance.",
3c642dcda3b6bdfa2363c5961ef2cb46,mixed_random,M1,mixed,mixed,The abstract reports support for mediation of the OCBO and OCBI relationships but says the mediation of employees' performance did not replicate.,
54714e155d16a9123bf7830eaa0f9e3b,mixed_random,M0,mixed,mixed,"The authors describe partial support: selection bias predicted one choice measure in the standard procedure, but not the other measure or either measure in the random procedure.",
54714e155d16a9123bf7830eaa0f9e3b,mixed_random,M1,mixed,mixed,The authors describe the evidence as partial: selection bias predicted one choice measure in the standard procedure but did not predict the reported measures in the random procedure.,
06ee4d2d3e770522a49e8ef9604b9879,mixed_random,M0,mixed,mixed,"The paper reports agreement in one cohort but opposite-direction and null results in other panels, so its evidence is mixed rather than uniformly successful or failed.",
06ee4d2d3e770522a49e8ef9604b9879,mixed_random,M1,mixed,mixed,"The paper reports one panel agreeing with the original association but other panels showing an opposite direction or no significant association, so its results are mixed.",
c5fccffb68fc64c60632bd95d9451ed8,mixed_random,M0,mixed,cannot_be_determined,The title identifies the study being replicated but supplies no evidence about the replication's results.,
c5fccffb68fc64c60632bd95d9451ed8,mixed_random,M1,mixed,cannot_be_determined,The title identifies the work being re-tested but gives no verdict about whether its finding was replicated.,
baf58113e690b88f1eff87267f3ee104,mixed_random,M0,mixed,,,
baf58113e690b88f1eff87267f3ee104,mixed_random,M1,mixed,successful,"The paper explicitly reports successful replication, and its MID results are described as consistent with Knutson et al. (2000).",
2c7b1ead2159edc83366b3e1c84b0e4f,mixed_random,M0,mixed,mixed,The paper reports agreement on excess but treats the control association as unclear given its nonsignificant results alongside Zamboanga et al.’s negative associations.,
2c7b1ead2159edc83366b3e1c84b0e4f,mixed_random,M1,mixed,mixed,The paper reports agreement on excess but says its null control findings leave the control associations reported by Zamboanga et al. unclear.,
b81b0c703473d58c9ddd94eb2adeaf05,mixed_random,M0,mixed,,,
b81b0c703473d58c9ddd94eb2adeaf05,mixed_random,M1,mixed,,,
8248f50288dc56b86dae1f5c3f98bcd8,mixed_random,M0,mixed,mixed,The paper confirms one reported LWDG finding but reports a result opposite to LWDG on the association between acquisitive and subsequent organic growth.,
8248f50288dc56b86dae1f5c3f98bcd8,mixed_random,M1,mixed,mixed,The paper says it confirms LWDG’s organic-growth finding but reports a contrary acquisitive-growth association.,
9355e825b15a37ea2657672b035a059b,mixed_random,M0,mixed,successful,"The authors explicitly report that the quantitative results agree with the original study, including the relative importance of gender diversity.",
9355e825b15a37ea2657672b035a059b,mixed_random,M1,mixed,successful,The paper explicitly reports no significant difference from the original and says Brazilian participants showed the same relative perception.,
c37d1632d9809586a565160d1819015e,mixed_random,M0,mixed,mixed,"The authors say the three-factor model replicated but its second-order internalizing factor did not, so the findings are partly in agreement and partly not.",
c37d1632d9809586a565160d1819015e,mixed_random,M1,mixed,mixed,The authors say the three-factor model replicated but explicitly distinguish the absent higher-order internalizing factor from the original model.,
d77ca24a8b7c25256d8a362a248120eb,mixed_random,M0,mixed,mixed,"The authors explicitly describe the original results as only partially replicated, indicating that some but not all of the findings were supported.",
d77ca24a8b7c25256d8a362a248120eb,mixed_random,M1,mixed,mixed,"The authors’ overall verdict is that they partially replicated the original results, indicating both agreement and non-replication rather than full success or failure.",
32eee7c426ae055dcd0cbe1a137814f1,mixed_random,M0,mixed,mixed,"The reported comprehension advantage agrees with the original finding, while the reported advantage of output practice for production conflicts with the original finding that input practice was no worse, so the comparison is mixed.",
32eee7c426ae055dcd0cbe1a137814f1,mixed_random,M1,mixed,mixed,"The results preserve the reported comprehension advantage for input practice but indicate an output-practice advantage for production, contrary to the original claim that input practice was no worse for production.",
a1b56e066745d5b57761084f31f1a5e2,mixed_random,M0,mixed,failed,"The title gives the paper’s overall verdict as an unsuccessful replication, despite the discussion noting that some aspects of the original finding were confirmed.",
a1b56e066745d5b57761084f31f1a5e2,mixed_random,M1,mixed,mixed,The paper says it confirmed the original’s hidden-cost finding but did not reproduce the finding that those costs outweighed the benefits.,
9ba161f64e2b9492247820a179f3e778,mixed_random,M0,mixed,mixed,"The authors say most, but not all, results were consistent with the original, presenting the replication as partly agreeing and partly not.",
9ba161f64e2b9492247820a179f3e778,mixed_random,M1,mixed,mixed,"The authors characterize the results as only mostly consistent with the original, indicating partial rather than complete agreement.",
2e012b36093ecbe3054844b16657c569,mixed_random,M0,mixed,mixed,The authors report that the initial-intrusion finding was replicated but the subsequent-intrusion and distress benefits from these prior experiments were not.,
2e012b36093ecbe3054844b16657c569,mixed_random,M1,mixed,mixed,The authors say the initial-intrusion finding was replicated but the subsequent-intrusion and distress findings were not.,
8c6d202907b961b7deb63fdcfa9ef4f2,mixed_random,M0,mixed,mixed,"The original motor-activity association was not found, while the abstract says the other previous results were replicated.",
8c6d202907b961b7deb63fdcfa9ef4f2,mixed_random,M1,mixed,mixed,"The paper says the prior motor-activity result was not replicated while the other previous results were, so the original findings received both a non-replication and replication verdict.",
eaf73f0dba5d9b0f46e4d7bd10150498,mixed_random,M0,mixed,mixed,The abstract reports a predicted association but explicitly says two other relationships reported by the target study were not replicated.,
eaf73f0dba5d9b0f46e4d7bd10150498,mixed_random,M1,mixed,mixed,"The paper reports a predicted association while explicitly saying two other relationships reported by the original were not replicated, so its comparisons are mixed.",
3f374c6a72585313be3f11f308d923cd,mixed_random,M0,mixed,mixed,"The authors classify the finding as partially successful, so the evidence is described as supporting some but not all of the tested result.",
3f374c6a72585313be3f11f308d923cd,mixed_random,M1,mixed,mixed,"The authors classify this relationship as partially replicated, describing support in some tests or conditions but not others.",
74dc4d08787706a2f462f18c20fb25e5,mixed_random,M0,mixed,cannot_be_determined,"The supplied text reports partial support for this paper’s cookie-choice hypothesis, but it does not fully state Wang et al.’s finding or explicitly compare the results with that finding.",
74dc4d08787706a2f462f18c20fb25e5,mixed_random,M1,mixed,cannot_be_determined,"The paper reports partial support for its own cookie-choice hypothesis, but the supplied text does not state the specific finding of Wang et al. that this result would confirm or contradict.",
45649764ee055e8c8294877f6b6df3ce,mixed_random,M0,mixed,mixed,The abstract reports replication of focal adhesion and PI3K-Akt findings but no association with the original ECM finding.,
45649764ee055e8c8294877f6b6df3ce,mixed_random,M1,mixed,mixed,"The paper reports support for two pathways found in the original study but no association for the original ECM finding, so its results are partly concordant and partly discordant.",
b2c8de222ac78b99170e05b115a12caa,mixed_random,M0,mixed,successful,"The authors' overall verdict says that the large majority of the original correlates were replicated, supporting success despite not claiming that every correlate replicated.",
b2c8de222ac78b99170e05b115a12caa,mixed_random,M1,mixed,successful,The authors’ overall conclusion says that the large majority of the original study’s correlates were replicated.,
aaa96ef64337c3b505acf6be203e74fa,mixed_random,M0,mixed,mixed,"The abstract reports positive intervention results on some measures but no support on several other outcomes, presenting a partially supportive rather than uniformly successful or failed result.",
aaa96ef64337c3b505acf6be203e74fa,mixed_random,M1,mixed,failed,"The paper reports no support for the original study’s stated relationship, parenting, and child outcomes, while the other positive findings are not identified as findings of that original.",
82782a40d1df7a11fe5971c5369a60d7,mixed_random,M0,mixed,mixed,"The authors report agreement for most but not all model parameters, explicitly presenting the replication evidence as partly supportive and partly not.",
82782a40d1df7a11fe5971c5369a60d7,mixed_random,M1,mixed,mixed,"The abstract reports agreement for most but not all of the model parameters, presenting the replication as partly consistent with the original.",
59bd6db133af5b9718113d6384fa1ff2,mixed_random,M0,mixed,successful,"The abstract explicitly confirms the model's superiority over the comparison methods, while the stated instance of infeasibility is a caveat rather than a verdict that the central finding failed.",
59bd6db133af5b9718113d6384fa1ff2,mixed_random,M1,mixed,successful,"The abstract explicitly says the study confirms the semiparametric model’s superiority, while the noted infeasibility in one instance does not overturn that overall positive verdict.",
9b34db31e83ac17287b575e715fc1b1c,mixed_random,M0,mixed,successful,The authors explicitly say the result replicated part of the 2015 study and report consistent evidence for the corresponding finding across all three studies.,
9b34db31e83ac17287b575e715fc1b1c,mixed_random,M1,mixed,successful,"The authors explicitly say their consistent result replicates part of the 2015 study, despite describing the effect as potentially weaker among legislators.",
545cae8b5542c357098afbcd9100a775,mixed_random,M0,mixed,mixed,"The authors classify this effect as partially replicated, explaining that partial success includes a significant main effect alongside nonsignificant tests or effects limited to some conditions.",
545cae8b5542c357098afbcd9100a775,mixed_random,M1,mixed,mixed,"The authors describe this target's replication as partial, with some tested effects or conditions supported and others not.",
ad8876ea19cf0d5a1a9cfb229efb7979,mixed_random,M0,mixed,mixed,"The authors report continuity in the broad perception that causes are rooted in the family, but also report a shift in the highest-rated solution compared with the original.",
ad8876ea19cf0d5a1a9cfb229efb7979,mixed_random,M1,mixed,mixed,"The paper says the broad finding about causes persisted but reports a different leading solution than Bliss et al., so its comparisons support some findings and differ on others.",
0a2bb318eb009cfe5207dde0e779835a,mixed_random,M0,mixed,mixed,"The addition results include the original rightward advantage, while subtraction showed no effect in Experiment 1 and a rightward advantage rather than the original leftward advantage in Experiment 2.",
0a2bb318eb009cfe5207dde0e779835a,mixed_random,M1,mixed,mixed,"The replicated rightward advantage for addition agrees with the original, while the original leftward advantage for subtraction was not reproduced, so the findings are mixed.",
